00	9	3737920296	Sealed #3737920296 (9 packs)	opp-00-9p-3737920296.txt
01	9	3737920297	Sealed #3737920297 (9 packs)	opp-01-9p-3737920297.txt
02	9	3737920298	Sealed #3737920298 (9 packs)	opp-02-9p-3737920298.txt
03	9	3737920299	Sealed #3737920299 (9 packs)	opp-03-9p-3737920299.txt
04	9	3737920300	Sealed #3737920300 (9 packs)	opp-04-9p-3737920300.txt
05	9	3737920301	Sealed #3737920301 (9 packs)	opp-05-9p-3737920301.txt
06	12	3737923296	Sealed #3737923296 (12 packs)	opp-06-12p-3737923296.txt
07	12	3737923297	Sealed #3737923297 (12 packs)	opp-07-12p-3737923297.txt
08	12	3737923298	Sealed #3737923298 (12 packs)	opp-08-12p-3737923298.txt
09	12	3737923299	Sealed #3737923299 (12 packs)	opp-09-12p-3737923299.txt
10	12	3737923300	Sealed #3737923300 (12 packs)	opp-10-12p-3737923300.txt
11	12	3737923301	Sealed #3737923301 (12 packs)	opp-11-12p-3737923301.txt
12	16	3737927296	Sealed #3737927296 (16 packs)	opp-12-16p-3737927296.txt
13	16	3737927297	Sealed #3737927297 (16 packs)	opp-13-16p-3737927297.txt
14	16	3737927298	Sealed #3737927298 (16 packs)	opp-14-16p-3737927298.txt
15	16	3737927299	Sealed #3737927299 (16 packs)	opp-15-16p-3737927299.txt
16	16	3737927300	Sealed #3737927300 (16 packs)	opp-16-16p-3737927300.txt
17	16	3737927301	Sealed #3737927301 (16 packs)	opp-17-16p-3737927301.txt
18	20	3737931296	Sealed #3737931296 (20 packs)	opp-18-20p-3737931296.txt
19	20	3737931297	Sealed #3737931297 (20 packs)	opp-19-20p-3737931297.txt
20	20	3737931298	Sealed #3737931298 (20 packs)	opp-20-20p-3737931298.txt
21	20	3737931299	Sealed #3737931299 (20 packs)	opp-21-20p-3737931299.txt
22	20	3737931300	Sealed #3737931300 (20 packs)	opp-22-20p-3737931300.txt
23	20	3737931301	Sealed #3737931301 (20 packs)	opp-23-20p-3737931301.txt
